order_id,customer_id,order_value,order_date
1,291,203.82,2025-01-12
2,1554,364.55,2025-01-16
3,727,112.83,2025-01-04
4,556,133.28,2025-01-15
5,764,217.36,2025-01-03
6,826,451.12,2025-01-30
7,853,405.95,2025-01-05
8,1293,108.86,2025-01-27
9,1217,300.69,2025-01-20
10,430,209.87,2025-01-13
11,1569,359.46,2025-01-03
12,1863,388.62,2025-01-18
13,476,445.15,2025-01-04
14,400,290.17,2025-01-11
15,1660,497.78,2025-01-17
16,1114,491.99,2025-01-23
17,859,452.87,2025-01-10
18,1825,329.95,2025-01-12
19,1814,259.2,2025-01-22
20,331,245.75,2025-01-16
21,758,104.85,2025-01-04
22,98,199.67,2025-01-17
23,921,387.52,2025-01-31
24,1306,341.45,2025-01-22
25,1848,466.57,2025-01-22
26,1783,120.01,2025-01-22
27,2028,162.11,2025-01-29
28,681,415.7,2025-01-13
29,313,243.4,2025-01-24
30,1834,147.34,2025-01-06
31,1876,498.58,2025-01-08
32,902,414.9,2025-01-10
33,596,263.5,2025-01-22
34,405,429.34,2025-01-19
35,191,372.24,2025-01-22
36,746,415.99,2025-01-09
37,722,426.08,2025-01-13
38,1353,133.89,2025-01-21
39,84,349.19,2025-01-03
40,227,102.71,2025-01-11
41,1206,117.38,2025-01-20
42,1532,461.59,2025-01-10
43,337,311.03,2025-01-26
44,1275,394.36,2025-01-25
45,1788,435.4,2025-01-09
46,1178,479.83,2025-01-25
47,1563,447.74,2025-01-25
48,1038,293.32,2025-01-25
49,1892,234.39,2025-01-02
50,890,161.8,2025-01-07
51,1045,260.13,2025-01-13
52,99,246.6,2025-01-26
53,412,323.83,2025-01-25
54,150,366.2,2025-01-20
55,663,491.33,2025-01-28
56,1464,391.35,2025-01-18
57,1219,357.5,2025-01-03
58,1194,234.04,2025-01-12
59,1238,113.8,2025-01-19
60,911,215.25,2025-01-24
61,1133,407.38,2025-01-29
62,96,182.11,2025-01-23
63,1358,384.88,2025-01-12
64,1057,331.91,2025-01-19
65,1223,168.74,2025-01-09
66,42,204.65,2025-01-16
67,120,298.52,2025-01-10
68,1743,267.35,2025-01-16
69,1084,411.43,2025-01-08
70,194,393.76,2025-01-21
71,881,329.83,2025-01-14
72,2014,428.91,2025-01-14
73,1984,325.07,2025-01-02
74,935,485.76,2025-01-21
75,1064,186.89,2025-01-05
76,361,385.65,2025-01-25
77,721,247.98,2025-01-05
78,495,211.59,2025-01-05
79,309,172.15,2025-01-14
80,950,321.0,2025-01-03
81,307,186.19,2025-01-29
82,1484,180.14,2025-01-27
83,1835,496.21,2025-01-24
84,104,420.7,2025-01-16
85,1718,399.31,2025-01-05
86,473,417.62,2025-01-28
87,947,487.57,2025-01-07
88,799,329.31,2025-01-04
89,1623,188.1,2025-01-08
90,2000,444.88,2025-01-07
91,121,397.09,2025-01-04
92,1226,265.72,2025-01-05
93,1310,289.43,2025-01-11
94,279,264.5,2025-01-31
95,1995,471.98,2025-01-22
96,609,237.41,2025-01-10
97,1925,485.39,2025-01-31
98,2087,464.11,2025-01-07
99,108,352.21,2025-01-30
100,1823,331.93,2025-01-21
101,1001,248.04,2025-01-28
102,818,107.34,2025-01-12
103,833,151.05,2025-01-08
104,125,401.69,2025-01-19
105,1987,288.62,2025-01-05
106,256,159.94,2025-01-06
107,1208,205.58,2025-01-05
108,1355,479.13,2025-01-05
109,1237,246.85,2025-01-28
110,493,463.07,2025-01-14
111,1020,221.85,2025-01-17
112,1749,317.29,2025-01-26
113,1708,108.19,2025-01-15
114,200,308.75,2025-01-12
115,2026,354.78,2025-01-30
116,1441,193.72,2025-01-03
117,1610,331.57,2025-01-23
118,828,358.87,2025-01-15
119,1390,374.75,2025-01-25
120,1705,410.56,2025-01-25
121,1652,224.54,2025-01-28
122,1498,327.11,2025-01-08
123,1479,492.63,2025-01-27
124,523,459.26,2025-01-12
125,2042,481.07,2025-01-05
126,1191,254.45,2025-01-08
127,1109,414.77,2025-01-30
128,1693,347.96,2025-01-17
129,359,133.09,2025-01-27
130,1325,429.59,2025-01-07
131,623,370.84,2025-01-28
132,883,179.57,2025-01-07
133,892,131.9,2025-01-03
134,641,434.81,2025-01-25
135,1166,131.56,2025-01-09
136,2027,136.54,2025-01-31
137,316,270.96,2025-01-28
138,1089,153.92,2025-01-08
139,1400,465.47,2025-01-28
140,1412,288.11,2025-01-26
141,1184,327.66,2025-01-25
142,824,471.24,2025-01-15
143,1971,312.11,2025-01-10
144,866,241.44,2025-01-16
145,604,418.86,2025-01-26
146,437,277.14,2025-01-23
147,497,227.39,2025-01-19
148,463,389.29,2025-01-13
149,1490,420.64,2025-01-24
150,1582,416.69,2025-01-20
151,1243,491.07,2025-01-14
152,651,414.67,2025-01-08
153,1890,407.97,2025-01-26
154,1249,442.99,2025-01-11
155,136,100.07,2025-01-31
156,1361,244.97,2025-01-11
157,2008,395.04,2025-01-03
158,560,339.89,2025-01-15
159,475,171.03,2025-01-14
160,1770,221.49,2025-01-23
161,1562,234.72,2025-01-30
162,1523,327.13,2025-01-07
163,856,432.64,2025-01-10
164,459,473.0,2025-01-14
165,782,400.04,2025-01-10
166,332,437.18,2025-01-14
167,3,288.04,2025-01-06
168,1073,255.91,2025-01-15
169,1407,257.08,2025-01-06
170,933,346.42,2025-01-10
171,673,149.69,2025-01-09
172,1978,331.8,2025-01-08
173,1432,366.05,2025-01-09
174,913,275.56,2025-01-23
175,667,481.27,2025-01-04
176,1719,343.29,2025-01-24
177,39,188.0,2025-01-25
178,898,291.69,2025-01-16
179,1751,370.16,2025-01-09
180,284,229.45,2025-01-02
181,438,131.86,2025-01-08
182,1900,333.37,2025-01-20
183,757,479.15,2025-01-03
184,2059,294.03,2025-01-15
185,997,462.44,2025-01-19
186,404,434.01,2025-01-31
187,2085,158.97,2025-01-16
188,482,383.27,2025-01-15
189,1860,274.19,2025-01-25
190,1895,200.1,2025-01-26
191,1356,374.78,2025-01-20
192,1754,397.06,2025-01-31
193,298,171.96,2025-01-20
194,158,465.78,2025-01-23
195,530,400.46,2025-01-28
196,228,473.35,2025-01-27
197,1088,226.83,2025-01-18
198,579,475.73,2025-01-23
199,347,247.41,2025-01-29
200,837,121.59,2025-01-20
201,441,405.19,2025-01-28
202,899,381.4,2025-01-17
203,819,339.16,2025-01-21
204,78,295.96,2025-01-26
205,1499,112.87,2025-01-20
206,2070,349.84,2025-01-02
207,749,266.73,2025-01-20
208,266,324.08,2025-01-08
209,1324,271.73,2025-01-30
210,1480,486.42,2025-01-24
211,594,341.64,2025-01-12
212,1301,399.69,2025-01-06
213,1495,474.54,2025-01-31
214,985,336.64,2025-01-18
215,614,104.83,2025-01-12
216,770,113.72,2025-01-25
217,1956,380.94,2025-01-27
218,797,211.63,2025-01-09
219,444,331.75,2025-01-11
220,1885,180.91,2025-01-13
221,1130,208.1,2025-01-11
222,232,301.86,2025-01-14
223,1901,490.23,2025-01-27
224,1628,346.51,2025-01-19
225,974,474.46,2025-01-11
226,736,483.75,2025-01-20
227,1011,183.24,2025-01-21
228,1975,224.48,2025-01-18
229,1769,408.0,2025-01-21
